id,doi,display_name,publication_year,type,cited_by_count,open_access__oa_status,host_venue__display_name,primary_location__source__display_name,primary_topic__display_name,primary_topic__field__display_name,primary_topic__subfield__display_name,biblio__volume,biblio__issue,biblio__first_page,biblio__last_page,fwci,authors,institutions,concepts_list,author_name,author_openalex_id
https://openalex.org/W4366235958,https://doi.org/10.1128/iai.00390-22,"<i>Gardnerella</i> Revisited: Species Heterogeneity, Virulence Factors, Mucosal Immune Responses, and Contributions to Bacterial Vaginosis",2023,review,33,hybrid,,Infection and Immunity,Reproductive tract infections research,Immunology and Microbiology,Microbiology,91,5,,,2.139,Elinor Shvartsman; Janet E. Hill; Kelly S. MacDonald; Paul Sandstrom,Public Health Agency of Canada; University of Manitoba; University of Saskatchewan,Bacteria; Bacterial vaginosis; Biochemistry; Biology; Commensalism; Gardnerella vaginalis; Gene; Genetics; Immune system; Immunology; Microbiology; Virulence,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4361277004,https://doi.org/10.3389/fcimb.2023.1144254,Maternal vaginal microbiome composition does not affect development of the infant gut microbiome in early life,2023,article,23,gold,,Frontiers in Cellular and Infection Microbiology,Gut microbiota and health,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,13,,,,3.599,Amee R. Manges; Arianne Albert; Chelsea Elwood; Deborah Money; Evelyn J. Maan; Janet E. Hill; Janet Lyons; Jennifer A. Hutcheon; Julie E. Van Schalkwyk; K.S. Joseph; Kirsten Grabowska; Matthew G. Links; Scott J Dos Santos; Sheona Mitchell‐Foster; Soren Gantt; Tim Dumonceaux; Zahra Pakzad; Zoë G. Hodgson,Agriculture and Agri-Food Canada; BC Centre for Disease Control; Centre Hospitalier Universitaire Sainte-Justine; University of British Columbia; University of Saskatchewan; Women's Health Research Institute,Bacterial vaginosis; Bioinformatics; Biology; Dysbiosis; Environmental health; Genetics; Immunology; Medicine; Microbiology; Microbiome; Physiology; Population; Pregnancy; Vaginal flora,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4409333248,https://doi.org/10.1128/spectrum.00481-25,Transformation of <i>Gardnerella vaginalis</i> with a <i>Bifidobacterium-Escherichia coli</i> shuttle vector plasmid,2025,article,2,gold,,Microbiology Spectrum,Reproductive tract infections research,Immunology and Microbiology,Microbiology,,,,,3.871,B. M. D. N. Kularatne; Janet E. Hill,University of Saskatchewan,Antibiotic resistance; Antibiotics; Bacteria; Bacterial vaginosis; Bifidobacterium; Biology; Gardnerella vaginalis; Gene; Genetics; Lactobacillus; Microbiology; Microbiome; Plasmid; Recombinant DNA; Shuttle vector; Spectinomycin; Transformation (genetics); Vector (molecular biology),A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4324307160,https://doi.org/10.1128/spectrum.04435-22,Transport and Utilization of Glycogen Breakdown Products by <i>Gardnerella</i> spp. from the Human Vaginal Microbiome,2023,article,14,gold,,Microbiology Spectrum,Reproductive tract infections research,Immunology and Microbiology,Microbiology,11,2,,,2.847,Janet E. Hill; Pashupati Bhandari,University of Saskatchewan,Bacterial vaginosis; Biochemistry; Biology; Demography; Gardnerella vaginalis; Genetics; Maltose; Maltotriose; Microbiology; Microbiome; Population; Sociology; Sucrose,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4407598583,https://doi.org/10.1101/2025.02.14.638355,Transformation of<i>Gardnerella vaginalis</i>with a<i>Bifidobacterium</i>-<i>Escherichia coli</i>shuttle vector plasmid,2025,preprint,1,green,,bioRxiv (Cold Spring Harbor Laboratory),Reproductive tract infections research,Immunology and Microbiology,Microbiology,,,,,,B. M. D. N. Kularatne; Janet E. Hill,University of Saskatchewan,Antibiotic resistance; Antibiotics; Bacteria; Bacterial vaginosis; Bifidobacterium; Biology; Escherichia coli; Gardnerella vaginalis; Gene; Genetics; Lactobacillus; Microbiology; Plasmid; Recombinant DNA; Shuttle vector; Spectinomycin; Transformation (genetics); Vector (molecular biology),A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4319293970,https://doi.org/10.1128/jb.00393-22,Glycogen-Degrading Activities of Catalytic Domains of α-Amylase and α-Amylase-Pullulanase Enzymes Conserved in <i>Gardnerella</i> spp. from the Vaginal Microbiome,2023,article,9,green,,Journal of Bacteriology,Enzyme Production and Characterization,"Biochemistry, Genetics and Molecular Biology",Biotechnology,205,2,,,1.982,D. Wade Abbott; Janet E. Hill; Jeffrey P. Tingley; Pashupati Bhandari,Agriculture and Agri-Food Canada; University of Saskatchewan,Amylase; Biochemistry; Biology; Enzyme; Glycogen; Glycogen debranching enzyme; Glycogen synthase; Maltose; Maltotriose; Microbiology; Pullulanase,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W3202952852,https://doi.org/10.1128/spectrum.00067-21,Early Neonatal Meconium Does Not Have a Demonstrable Microbiota Determined through Use of Robust Negative Controls with <i>cpn</i> 60-Based Microbiome Profiling,2021,article,19,green,,Microbiology Spectrum,Gut microbiota and health,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,9,2,,,1.09,Amee R. Manges; Arianne Albert; Chelsea Elwood; Deborah Money; Evelyn J. Maan; Janet E. Hill; Scott J Dos Santos; Soren Gantt; Tim Dumonceaux; Zahra Pakzad,Agriculture and Agri-Food Canada; Centre Hospitalier Universitaire Sainte-Justine; University of British Columbia; University of Saskatchewan; Women's Health Research Institute,Biology; Colonization; Fetus; Gene; Genetics; Genotype; Immunology; In utero; Meconium; Microbiology; Microbiome; Physiology; Pregnancy; Pulsed-field gel electrophoresis,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W3170097751,https://doi.org/10.1128/jb.00213-21,Characterization of an α-Glucosidase Enzyme Conserved in <i>Gardnerella</i> spp. Isolated from the Human Vaginal Microbiome,2021,article,18,green,,Journal of Bacteriology,Reproductive tract infections research,Immunology and Microbiology,Microbiology,203,17,,,1.98,D. Wade Abbott; David R. J. Palmer; Janet E. Hill; Jeffrey P. Tingley; Pashupati Bhandari,Agriculture and Agri-Food Canada; University of Lethbridge; University of Saskatchewan,Bacteria; Bacterial vaginosis; Biochemistry; Biology; Enzyme; Gardnerella vaginalis; Genetics; Glycoside hydrolase; Microbiology; Microbiome,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4321446140,https://doi.org/10.1155/2023/5224160,Canine Alveolar Echinococcosis: An Emerging and Costly Introduced Problem in North America,2023,article,7,gold,,Transboundary and Emerging Diseases,Parasitic infections in humans and animals,Medicine,Pathology and Forensic Medicine,2023,,1,10,2.383,Alessandro Massolo; Allison A. Hay; Andrew S. Peregrine; Caroline F. Frey; Danny J. Joffe; Emily Jenkins; Jamie L. Rothenburger; Janet E. Hill; Karen Gesy; Temitope U. Kolapo; Tim Spotswood; Yanyun Huang,Centre National de la Recherche Scientifique; Diagnostic Services Manitoba; Laboratoire Chrono-Environnement; University of Bern; University of Calgary; University of Guelph; University of Pisa; University of Saskatchewan; Université Bourgogne Franche-Comté,Alveolar echinococcosis; Echinococcosis; Echinococcus multilocularis; Environmental health; Histopathology; Medicine; Pathology; Population; Veterinary medicine,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4392589998,https://doi.org/10.1177/10406387241235968,Laboratory tools for the direct detection of bacterial respiratory infections and antimicrobial resistance: a scoping review,2024,review,3,hybrid,,Journal of Veterinary Diagnostic Investigation,Microbial infections and disease research,Immunology and Microbiology,Microbiology,36,3,400,417,0.635,Cheryl Waldner; Claire N. Freeman; Janet E. Hill; Olufunto O. Adewusi; Patrick C. Hanington; Simon J. G. Otto,University of Alberta; University of Saskatchewan,Antibiotic resistance; Antibiotics; Antimicrobial stewardship; Biology; Biotechnology; Computational biology; Drug resistance; Gene; Genetics; Metagenomics; Microbiology,A5022032110,https://openalex.org/A5022032110
https://openalex.org/W4294670886,,Changes in the phenotypic susceptibility of Mannheimia haemolytica isolates to macrolide antimicrobials during the early feeding period following metaphylactic tulathromycin use in western Canadian feedlot calves.,2022,article,10,closed,,PubMed,Microbial infections and disease research,Immunology and Microbiology,Microbiology,63,9,920,928,1.473,Cheryl Waldner; Dana Ramsay; Darien Deschner; Janet E. Hill; Jennifer Abi Younes; John Campbell; Stacey Lacoste,University of Saskatchewan,Animal science; Antibiotic resistance; Antibiotics; Antimicrobial; Biology; Bovine respiratory disease; Environmental health; Feedlot; Medicine; Microbiology; Population; Veterinary medicine,A5022032110,https://openalex.org/A5022032110
