id,doi,display_name,publication_year,type,cited_by_count,open_access__oa_status,host_venue__display_name,primary_location__source__display_name,primary_topic__display_name,primary_topic__field__display_name,primary_topic__subfield__display_name,biblio__volume,biblio__issue,biblio__first_page,biblio__last_page,fwci,authors,institutions,concepts_list,author_name,author_openalex_id
https://openalex.org/W4395452185,https://doi.org/10.3390/antibiotics13050391,Extended-Spectrum Beta-Lactamase-Producing Escherichia coli and Other Antimicrobial-Resistant Gram-Negative Pathogens Isolated from Bovine Mastitis: A One Health Perspective,2024,article,3,gold,,Antibiotics,Milk Quality and Mastitis in Dairy Cows,Agricultural and Biological Sciences,Agronomy and Crop Science,13,5,391,391,3.04,Alyssa Butters; Breno Luís Nery Garcia; Carlos Henrique Camargo; Diego B. Nóbrega; Kristian da Silva Barbosa; Stéfani Thais Alves Dantas; Thatiane Mendes Mitsunaga,Instituto Adolfo Lutz; Universidade de São Paulo; University of Calgary,Antimicrobial; Bacteria; Beta-lactamase; Biology; Broad spectrum; Chemistry; Combinatorial chemistry; Escherichia coli; Gene; Genetics; Geometry; Gram; Gram-negative bacteria; Mastitis; Mathematics; Microbiology; Perspective (graphical),A5097476685,https://openalex.org/A5097476685
https://openalex.org/W4406882429,https://doi.org/10.3389/fmicb.2025.1497402,The prevalence and antimicrobial resistance of respiratory pathogens isolated from feedlot cattle in Canada,2025,article,0,gold,,Frontiers in Microbiology,Microbial infections and disease research,Immunology and Microbiology,Microbiology,16,,,,0.0,Alyssa Butters; Brian N. Warr; Calvin W. Booker; Dana Ramsay; Joyce Van Donkersgoed; Paul S. Morley; Porjai Rattanapanadda; S. Hendrick; Sherry J. Hannon; Sheryl Gow,Department of Livestock Development; Ministry of Agriculture and Cooperatives; National Chung Hsing University; Public Health Agency of Canada; Telus (Canada); University of Calgary; University of Saskatchewan; West Texas A&M University,Ampicillin; Animal science; Antibiotic resistance; Antibiotics; Antimicrobial; Bacteria; Biology; Bovine respiratory disease; Broth microdilution; Ciprofloxacin; Enrofloxacin; Feedlot; Genetics; Medicine; Microbiology; Minimum inhibitory concentration; Pasteurella multocida; Pasteurellosis; Spectinomycin; Tetracycline; Veterinary medicine,A5097476685,https://openalex.org/A5097476685
https://openalex.org/W4401715865,https://doi.org/10.1128/spectrum.00532-24,"PmrB Y358N, E123D amino acid substitutions are not associated with colistin resistance but with phylogeny in <i>Escherichia coli</i>",2024,article,1,gold,,Microbiology Spectrum,Antibiotic Resistance in Bacteria,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,12,10,,,0.334,Alyssa Butters; Cheryl Waldner; Juan Jovel; Karen Liljebjelke; Sheryl Gow; Sylvia Checkley,Public Health Agency of Canada; University of Calgary; University of Saskatchewan,Antibiotics; Biology; Colistin; Enterobacteriaceae; Escherichia coli; Escherichia coli Proteins; Gene; Genetics; MCR-1; Microbiology; Phylogenetics,A5097476685,https://openalex.org/A5097476685
https://openalex.org/W4407117623,https://doi.org/10.1093/tas/txaf014,Exploring industry perspectives and preferences about calf handling and restraint methods used during spring processing of calves in western Canada,2025,article,1,gold,,Translational Animal Science,Animal Behavior and Welfare Studies,Veterinary,Small Animals,,,,,5.349,Christy Goldhawk; Cindy L. Adams; Claire Windeyer; Ed Pajor; Lindsey Arkangel,University of Calgary,Engineering; Mechanical engineering; Spring (device),A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4390611020,https://doi.org/10.3389/fsufs.2023.1306521,Supporting Inuit food sovereignty through collaborative research of an at-risk caribou herd,2024,article,4,gold,,Frontiers in Sustainable Food Systems,Indigenous Studies and Ecology,Health Professions,General Health Professions,7,,,,6.534,Amanda Dumond; Amélie Roberto‐Charron; Andrea Hanke; Beverly Maksagak; Cindy L. Adams; Gwendolyn Blue; Juliette Di Francesco; Lisa‐Marie Leclerc; Rosemin Nathoo; Susan Kutz; Terry Milton,Government of Nunavut; University of Calgary,Biology; Demography; Ecology; Environmental resource management; Environmental science; General partnership; Geography; Habitat; Herd; Indigenous; Law; Political science; Population; Socioeconomics; Sociology; Threatened species; Traditional knowledge,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4206288896,https://doi.org/10.14430/arctic73826,A Caribou Decline Foreshadowed by Inuit in the Central Canadian Arctic: A Retrospective Analysis,2022,article,12,gold,,ARCTIC,Indigenous Studies and Ecology,Health Professions,General Health Professions,74,4,437,455,3.862,Andrea Hanke; Cindy L. Adams; Lisa‐Marie Leclerc; Monica Angohiatok; Susan Kutz,Government of Nunavut; University of Calgary; Wisconsin Disability Association,Archaeology; Arctic; Biology; Composite material; Demography; Ecology; Endangered species; Geography; Habitat; Mainland; Materials science; Population; Range (aeronautics); Sociology,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4211253812,https://doi.org/10.1016/j.prevetmed.2022.105590,Alberta dairy farmers’ and veterinarians’ opinion about bovine leukemia virus control measures,2022,article,10,closed,,Preventive Veterinary Medicine,T-cell and Retrovirus Studies,Immunology and Microbiology,Immunology,200,,105590,105590,1.004,Alessa Kuczewski; Bonnie Lashewicz; Cindy L. Adams; Frank van der Meer,University of Calgary,Agricultural science; Biology; Bovine leukemia virus; Business; Control (management); Culling; Dairy industry; Economics; Environmental health; Food science; Herd; Management; Marketing; Medicine; Paleontology; Test (biology); Veterinary medicine; Virology; Virus,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4309531849,https://doi.org/10.3168/jds.2021-21521,"Contextualized understandings of dairy farmers' perspectives on antimicrobial use and regulation in Alberta, Canada",2022,article,10,gold,,Journal of Dairy Science,Animal Behavior and Welfare Studies,Veterinary,Small Animals,106,1,547,564,2.473,Cindy L. Adams; D.V. Nydam; Elizabeth R. Russell; Herman W. Barkema; Jennifer A. Ida; John P. Kastelic; Kayley D. McCubbin; S. Craig Gerlach; Warren M. Wilson,Cornell University; University of British Columbia; University of Calgary,Agency (philosophy); Agriculture; Anxiety; Autonomy; Biology; Business; Dairy farming; Ecology; Epistemology; Focus group; Law; Marketing; Philosophy; Political science; Psychiatry; Psychology; Public relations; Qualitative research; Skepticism; Social science; Sociology; Thematic analysis; Worry,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4408755102,https://doi.org/10.1101/2025.03.22.25324456,Undiagnosed and Overlooked: Socioeconomic and Healthcare Inequality in Caribbean Diabetes. A Cross-Sectional Study,2025,preprint,0,green,,medRxiv (Cold Spring Harbor Laboratory),Global Public Health Policies and Epidemiology,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,,,,,,Cesar Barrabi; Cindy L. Adams; Ömur Cinar Elci,,Cross-sectional study; Demographic economics; Diabetes mellitus; Economic growth; Economics; Endocrinology; Environmental health; Geography; Health care; Inequality; Mathematical analysis; Mathematics; Medicine; Pathology; Population; Socioeconomic status,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4408769673,https://doi.org/10.1017/s1466252325000039,"A systematic review of disease control strategies in beef cow-calf herds, Part 2: Preweaned calf morbidity and mortality associated with Neonatal Calf Diarrhea and Bovine Respiratory Disease",2025,review,0,closed,,Animal Health Research Reviews,Animal health and immunology,Veterinary,Small Animals,,,1,54,0.0,Cindy L. Adams; Heather Ganshorn; John Campbell; Kayla Strong; M. Claire Windeyer; Samuel Agbese; Sylvia Checkley; V. Sanguinetti,University of Calgary; University of Saskatchewan,Biology; Bovine respiratory disease; Diarrhea; Disease; Herd; Immunology; Internal medicine; Medicine; Veterinary medicine,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4408800552,https://doi.org/10.1017/s1466252325000015,"A systematic review of disease control strategies in beef herds, Part 1: Preweaned calf mortality",2025,review,0,closed,,Animal Health Research Reviews,Animal Disease Management and Epidemiology,Agricultural and Biological Sciences,Agronomy and Crop Science,,,1,37,0.0,Cindy L. Adams; Ellen de Jong; Heather Ganshorn; John Campbell; Kayla Strong; M. Claire Windeyer; Samuel Agbese; Sylvia Checkley; V. Sanguinetti,University of Calgary; University of Saskatchewan,Coronavirus disease 2019 (COVID-19); Disease; Disease control; Herd; Infectious disease (medical specialty); Internal medicine; Medicine; Veterinary medicine; Virology,A5089186675,https://openalex.org/A5089186675
https://openalex.org/W4412450953,https://doi.org/10.1016/j.pec.2025.108929,Communication skills assessment in health professions: a systematic review of validity evidence,2025,review,0,closed,,Patient Education and Counseling,Communication in Education and Healthcare,Psychology,Social Psychology,137,,108929,108929,0.0,Chelsea Ritter; Cindy L. Adams; Courtney A. Vengrin; Elpida Artemiou; Herman W. Barkema; Julie Cary; Kent G. Hecker; L. Dorrestein; M. Wichtel; Zoë De Mol,,Applied psychology; Law; MEDLINE; Medical education; Medicine; Political science; Psychology,A5089186675,https://openalex.org/A5089186675
