id,doi,display_name,publication_year,type,cited_by_count,fwci
https://openalex.org/W4395452185,https://doi.org/10.3390/antibiotics13050391,Extended-Spectrum Beta-Lactamase-Producing Escherichia coli and Other Antimicrobial-Resistant Gram-Negative Pathogens Isolated from Bovine Mastitis: A One Health Perspective,2024,article,3,3.04
https://openalex.org/W4406882429,https://doi.org/10.3389/fmicb.2025.1497402,The prevalence and antimicrobial resistance of respiratory pathogens isolated from feedlot cattle in Canada,2025,article,0,0.0
https://openalex.org/W4401715865,https://doi.org/10.1128/spectrum.00532-24,"PmrB Y358N, E123D amino acid substitutions are not associated with colistin resistance but with phylogeny in <i>Escherichia coli</i>",2024,article,1,0.334
https://openalex.org/W1967921405,https://doi.org/10.1083/jcb.134.1.165,The adenomatous polyposis coli tumor suppressor protein localizes to plasma membrane sites involved in active cell migration.,1996,article,494,22.19
https://openalex.org/W2589237773,https://doi.org/10.3168/jds.2016-11977,Invited review: Determinants of farmers' adoption of management-based strategies for infectious disease prevention and control,2017,review,251,4.236
https://openalex.org/W2035081796,https://doi.org/10.1083/jcb.135.6.1899,Quantitative analysis of cadherin-catenin-actin reorganization during development of cell-cell adhesion.,1996,article,318,6.817
https://openalex.org/W2159235075,https://doi.org/10.1177/1049732308327088,Sentinels of Safety: Service Dogs Ensure Safety and Enhance Freedom and Well-Being for Families With Autistic Children,2008,article,168,2.134
https://openalex.org/W2125311058,https://doi.org/10.2460/javma.233.7.1072,A focus group study of veterinarians' and pet owners' perceptions of veterinarian-client communication in companion animal practice,2008,article,167,6.09
https://openalex.org/W2148963713,https://doi.org/10.2460/javma.231.10.1510,A focus group study of veterinarians' and pet owners' perceptions of the monetary aspects of veterinary care,2007,article,150,4.845
https://openalex.org/W2103021777,https://doi.org/10.2460/javma.240.4.427,Effect of veterinarian-client-patient interactions on client adherence to dentistry and surgery recommendations in companion-animal practice,2012,article,116,9.964
https://openalex.org/W2010634054,https://doi.org/10.1016/j.healthplace.2013.03.007,Dog-walking and sense of community in neighborhoods: Implications for promoting regular physical activity in adults 50 years and older,2013,article,115,4.636
https://openalex.org/W2134781254,https://doi.org/10.2460/javma.2000.217.1303,Predictors of owner response to companion animal death in 177 clients from 14 practices in Ontario,2000,article,166,0.747
https://openalex.org/W1970840871,https://doi.org/10.2752/089279308x274038,Therapeutic Value of Equine-Human Bonding in Recovery from Trauma,2008,article,125,2.845
https://openalex.org/W2139443519,https://doi.org/10.2460/javma.2004.224.676,What can veterinarians learn from studies of physician-patient communication about veterinarian-client-patient communication?,2004,review,125,2.053
https://openalex.org/W2127154535,https://doi.org/10.2460/javma.240.7.832,Veterinarian satisfaction with companion animal visits,2012,article,80,5.275
https://openalex.org/W2015935245,https://doi.org/10.2460/javma.245.5.513,The role of veterinary team effectiveness in job satisfaction and burnout in companion animal veterinary clinics,2014,article,79,9.062
https://openalex.org/W2147581528,https://doi.org/10.2460/javma.2004.225.222,Use of the Roter interaction analysis system to analyze veterinarian-client-patient communication in companion animal practice,2004,article,99,9.332
https://openalex.org/W1998444199,https://doi.org/10.1080/10888700701555550,Factors Affecting Behavior and Welfare of Service Dogs for Children With Autism Spectrum Disorder,2008,article,95,1.601
https://openalex.org/W2070183486,https://doi.org/10.2460/javma.233.10.1576,Veterinarian-client-patient communication during wellness appointments versus appointments related to a health problem in companion animal practice,2008,article,95,8.12
https://openalex.org/W2159284822,https://doi.org/10.2460/javma.228.5.714,Veterinarian-client-patient communication patterns used during clinical appointments in companion animal practice,2006,article,92,8.168
https://openalex.org/W2042071560,https://doi.org/10.3138/jvme.33.1.28,Building on Existing Models from Human Medical Education to Develop a Communication Curriculum in Veterinary Medicine,2006,review,90,1.464
https://openalex.org/W2920835008,https://doi.org/10.3168/jds.2018-15825,Factors associated with dairy farmers' satisfaction and preparedness to adopt recommendations after veterinary herd health visits,2019,article,55,14.059
https://openalex.org/W4407117623,https://doi.org/10.1093/tas/txaf014,Exploring industry perspectives and preferences about calf handling and restraint methods used during spring processing of calves in western Canada,2025,article,1,5.349
https://openalex.org/W1977144508,https://doi.org/10.2460/javma.2001.219.924,Survey of veterinary technical and professional skills in students and recent graduates of a veterinary college,2001,article,94,6.365
https://openalex.org/W2171407956,https://doi.org/10.2460/javma.234.11.1418,Prevalence and nature of cost discussions during clinical appointments in companion animal practice,2009,article,64,7.726
https://openalex.org/W1964012900,https://doi.org/10.2460/javma.238.12.1609,Analysis of solicitation of client concerns in companion animal practice,2011,article,53,9.692
https://openalex.org/W2800079966,https://doi.org/10.1017/s0714980818000107,"Pets, Social Participation, and Aging-in-Place: Findings from the Canadian Longitudinal Study on Aging",2018,article,46,2.846
https://openalex.org/W2139818471,https://doi.org/10.1093/heapro/dau017,Policies on pets for healthy cities: a conceptual framework,2014,article,45,2.374
https://openalex.org/W2507623788,https://doi.org/10.3168/jds.2016-10896,Dairy farmers’ perceptions toward the implementation of on-farm Johne’s disease prevention and control strategies,2016,article,45,3.245
https://openalex.org/W2147467791,https://doi.org/10.3168/jds.2015-9789,"Factors associated with participation of Alberta dairy farmers in a voluntary, management-based Johne’s disease control program",2015,article,43,2.666
https://openalex.org/W2889135867,https://doi.org/10.3168/jds.2018-14741,Clinical communication patterns of veterinary practitioners during dairy herd health and production management farm visits,2018,article,40,5.749
https://openalex.org/W1971661716,https://doi.org/10.3138/jvme.31.2.138,Implementing a Simulated Client Program: Bridging the Gap between Theory and Practice,2004,article,62,3.041
https://openalex.org/W2045380636,https://doi.org/10.1016/j.cvsm.2006.10.003,It May Be a Dog's Life But the Relationship with Her Owners Is Also Key to Her Health and Well Being: Communication in Veterinary Medicine,2007,review,62,0.68
https://openalex.org/W2139662212,https://doi.org/10.3138/jvme.0512-038r,Coaching and Feedback: Enhancing Communication Teaching and Learning in Veterinary Practice Settings,2012,article,40,4.102
https://openalex.org/W2100534959,https://doi.org/10.2460/javma.241.1.81,Gender differences in veterinarian-client-patient communication in companion animal practice,2012,article,39,1.758
https://openalex.org/W1988253524,https://doi.org/10.1080/08351813.2014.900219,Treating Distressed Animals as Participants: <i>I Know</i> Responses in Veterinarians’ Pet-Directed Talk,2014,article,38,1.385
https://openalex.org/W1965700700,https://doi.org/10.1016/j.prevetmed.2009.10.005,Development and validation of an instrument for measuring appointment-specific client satisfaction in companion-animal practice,2009,article,46,5.619
https://openalex.org/W2150242837,https://doi.org/10.2460/javma.237.11.1275,Use of the measure of patient-centered communication to analyze euthanasia discussions in companion animal practice,2010,article,41,0.893
https://openalex.org/W2793594820,https://doi.org/10.3390/ani8030032,“Pets Negotiable”: How Do the Perspectives of Landlords and Property Managers Compare with Those of Younger Tenants with Dogs?,2018,article,32,2.846
https://openalex.org/W426828816,,Bung Karno : Penyambung Lidah Rakyat Indonesia,2014,book,32,0.772
https://openalex.org/W2463483773,https://doi.org/10.1079/hai.2015.0005,The Helping Horse: How Equine Assisted Learning Contributes to the Wellbeing of First Nations Youth in Treatment for Volatile Substance Misuse,2015,article,30,2.342
https://openalex.org/W108106588,,Owner response to companion animal death: development of a theory and practical implications.,1999,article,59,0.167
https://openalex.org/W2057976965,https://doi.org/10.3138/jvme.33.1.58,Reflection: A Critical Proficiency Essential to the Effective Development of a High Competence in Communication,2006,review,45,0.476
https://openalex.org/W2022397099,https://doi.org/10.3138/jvme.0312.022r,Assessment of First-year Veterinary Students' Communication Skills Using an Objective Structured Clinical Examination: The Importance of Context,2012,article,29,5.861
https://openalex.org/W1836589752,https://doi.org/10.2460/javma.246.11.1203,"Effect of question design on dietary information solicited during veterinarian-client interactions in companion animal practice in Ontario, Canada",2015,article,26,5.07
https://openalex.org/W4390611020,https://doi.org/10.3389/fsufs.2023.1306521,Supporting Inuit food sovereignty through collaborative research of an at-risk caribou herd,2024,article,4,6.534
https://openalex.org/W2130977670,https://doi.org/10.3138/jvme.35.4.559,Challenges of Service-Dog Ownership for Families with Autistic Children: Lessons for Veterinary Practitioners,2008,article,31,0.356
https://openalex.org/W1975494217,https://doi.org/10.3138/jvme.0113-026r1,Measuring the Effectiveness of Small-Group and Web-Based Training Methods in Teaching Clinical Communication: A Case Comparison Study,2013,article,23,3.79
https://openalex.org/W2741131681,https://doi.org/10.3389/fvets.2017.00117,Feline Obesity in Veterinary Medicine: Insights from a Thematic Analysis of Communication in Practice,2017,article,23,3.843
https://openalex.org/W2939851409,https://doi.org/10.2460/javma.254.9.1073,Comparison of veterinarian and standardized client perceptions of communication during euthanasia discussions,2019,article,22,7.03
https://openalex.org/W2105301230,https://doi.org/10.1136/vr.102633,Standardised clients as assessors in a veterinary communication OSCE: a reliability and validity study,2014,article,20,1.296
https://openalex.org/W2236849856,https://doi.org/10.3389/fvets.2015.00078,Exploring the Impact of Toxic Attitudes and a Toxic Environment on the Veterinary Healthcare Team,2015,article,20,0.633
https://openalex.org/W2757061000,https://doi.org/10.15453/0191-5096.3875,When ‘Places’ Include Pets: Broadening the Scope of Relational Approaches to Promoting Aging-in-Place,2017,article,19,1.352
https://openalex.org/W4206288896,https://doi.org/10.14430/arctic73826,A Caribou Decline Foreshadowed by Inuit in the Central Canadian Arctic: A Retrospective Analysis,2022,article,12,3.862
https://openalex.org/W1981796376,https://doi.org/10.3138/jvme.31.1.66,Professional and veterinary competencies: addressing human relations and the human-animal bond in veterinary medicine,2004,article,31,6.999
https://openalex.org/W2145718608,https://doi.org/10.20506/rst.28.2.1911,Essential education in communication skills and cultural sensitivities for global public health in an evolving veterinary world,2009,article,21,4.199
https://openalex.org/W2786171551,https://doi.org/10.3138/jvme.0317-034r,"Conversation Analysis of Veterinarians' Proposals for Long-Term Dietary Change in Companion Animal Practice in Ontario, Canada",2018,article,18,4.108
